AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;punto inicial Dr A. Reyes
Method;
Comentarios;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99100919
Last_SST;8/18/2023 9:12:00 AM +00:00
User_Name;administrator
Measurement_Started;10/12/2023 1:13:42 AM
Measurement_Finished;10/12/2023 1:14:23 AM
Measurement_Saved;10/12/2023 1:15:00 AM
Wavelength;785
Laser_Power;450
Auto_Exposure;True
Exposure_Time;10000
Averaged_Spectra;1
Probe_Type;Microwave Probe (785 nm)
Probe_SN;99117511
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;False
Baseline_Correction;True
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
1644.00;10.60
1646.00;22.03
1648.00;28.62
1650.00;27.01
1652.00;41.21
1654.00;1.67
1656.00;25.56
1658.00;42.40
1660.00;21.10
1662.00;6.59
1664.00;30.61
1666.00;30.31
1668.00;14.67
1670.00;21.52
1672.00;4.69
1674.00;20.78
1676.00;12.47
1678.00;-6.00
1680.00;10.13
1682.00;12.77
1684.00;-4.45
1686.00;7.74
1688.00;7.90
1690.00;-11.42
1692.00;-26.79
1694.00;-9.51
1696.00;-8.91
1698.00;-5.33
1700.00;16.39
1702.00;1.31
1704.00;13.05
1706.00;-15.42
1708.00;6.10
1710.00;-18.92
1712.00;-34.96
1714.00;-3.89
1716.00;-6.60
1718.00;-23.22
1720.00;13.72
1722.00;32.24
1724.00;17.32
1726.00;-2.52
1728.00;-19.63
1730.00;-31.10
1732.00;-29.77
1734.00;-42.07
1736.00;-29.63
1738.00;-24.67
1740.00;0.53
1742.00;-9.38
1744.00;0.73
1746.00;-7.91
1748.00;1.75
1750.00;-10.74
1752.00;-1.75
1754.00;17.17
1756.00;5.09
1758.00;-10.93
1760.00;0.83
1762.00;-11.79
1764.00;27.60
1766.00;6.07
1768.00;-18.84
1770.00;-23.93
1772.00;-3.29
1774.00;-16.71
1776.00;-2.76
1778.00;-0.26
1780.00;0.92
1782.00;19.50
1784.00;2.04
1786.00;0.70
1788.00;1.46
1790.00;17.82
1792.00;-3.60
1794.00;-21.44
1796.00;-5.57
1798.00;6.04
1800.00;-25.78
1802.00;-3.96
1804.00;-2.20
1806.00;-19.72
1808.00;-6.10
1810.00;-20.30
1812.00;-4.44
1814.00;-26.97
1816.00;-24.27
1818.00;2.28
1820.00;-0.81
1822.00;-26.52
1824.00;-9.10
1826.00;-12.10
1828.00;-5.72
1830.00;1.28
1832.00;0.01
1834.00;-6.52
1836.00;-14.03
1838.00;-13.71
1840.00;-0.59
1842.00;-3.54
1844.00;-16.75
1846.00;-11.26
1848.00;-20.04
1850.00;-15.56
1852.00;-11.04
1854.00;-11.54
1856.00;-5.45
1858.00;-13.71
1860.00;9.58
1862.00;0.28
1864.00;-11.26
1866.00;-15.12
1868.00;-30.21
1870.00;-11.10
1872.00;-2.15
1874.00;-7.50
1876.00;16.15
1878.00;-4.25
1880.00;-2.29
1882.00;-11.15
1884.00;17.23
1886.00;3.90
1888.00;27.67
1890.00;27.77
1892.00;24.07
1894.00;10.46
1896.00;14.95
1898.00;23.52
1900.00;25.82
1902.00;22.77
1904.00;27.43
1906.00;31.06
1908.00;58.45
1910.00;44.17
1912.00;55.97
1914.00;29.63
1916.00;0.24
1918.00;10.34
1920.00;42.26
1922.00;44.12
1924.00;7.98
1926.00;-3.12
1928.00;20.82
1930.00;34.22
1932.00;2.41
1934.00;-9.14
1936.00;-18.52
1938.00;-2.50
1940.00;12.16
1942.00;-9.78
1944.00;14.83
1946.00;4.73
1948.00;9.89
1950.00;-2.59
1952.00;3.71
1954.00;-15.72
1956.00;4.91
1958.00;-1.81
1960.00;1.77
1962.00;-2.57
1964.00;-0.38
1966.00;-18.43
1968.00;-7.76
1970.00;-0.49
1972.00;4.07
1974.00;-1.06
1976.00;23.15
